日期,时间,气温℃,湿度%,地表水平辐射W/m^2
2023/3/1,0:00:00,7.135400391,89.74093905,0.015104167
2023/3/1,1:00:00,6.943261719,89.51202454,0.015104167
2023/3/1,2:00:00,7.824517822,85.97684961,0.015104167
2023/3/1,3:00:00,7.778649902,85.62589641,0.015104167
2023/3/1,4:00:00,8.114434814,82.16935079,0.015104167
2023/3/1,5:00:00,8.242547607,79.46761615,0.015104167
2023/3/1,6:00:00,8.245263672,79.57681332,3.205416667
2023/3/1,7:00:00,8.592492676,77.2632019,93.138125
2023/3/1,8:00:00,9.1831604,75.69836445,297.0743056
2023/3/1,9:00:00,14.7862793,50.52326388,498.5308681
2023/3/1,10:00:00,15.19893799,50.5362183,649.4115972
2023/3/1,11:00:00,15.4180542,50.62996153,743.8954167
2023/3/1,12:00:00,17.83126221,37.93899669,771.61
2023/3/1,13:00:00,17.87374268,37.54830193,721.8355556
2023/3/1,14:00:00,17.94454346,36.03489297,628.6520833
2023/3/1,15:00:00,16.98235474,33.99121298,457.4200694
2023/3/1,16:00:00,16.73894653,32.34434321,259.6981076
2023/3/1,17:00:00,12.39803467,41.57623204,75.29673611
2023/3/1,18:00:00,11.95775757,43.32676596,0.241909722
2023/3/1,19:00:00,11.63747559,45.07162975,0.015104167
2023/3/1,20:00:00,11.33809814,47.07363566,0.015104167
2023/3/1,21:00:00,9.19866333,56.44917326,0.015104167
2023/3/1,22:00:00,6.931787109,68.80515038,0.015104167
2023/3/1,23:00:00,6.503625488,73.33737274,0.015104167
2023/3/2,0:00:00,5.513818359,79.61123331,0.015104167
2023/3/2,1:00:00,6.092340088,79.41388186,0.015104167
2023/3/2,2:00:00,6.110528564,81.73428867,0.015104167
2023/3/2,3:00:00,5.637872314,82.00440821,0.015104167
2023/3/2,4:00:00,5.928491211,80.99655652,0.015104167
2023/3/2,5:00:00,6.766595459,79.27070831,0.015104167
2023/3/2,6:00:00,6.91628418,79.5071615,4.369618056
2023/3/2,7:00:00,7.295892334,74.19425799,119.1895833
2023/3/2,8:00:00,7.247338867,61.16400199,326.4823611
2023/3/2,9:00:00,12.95498047,36.41338411,529.0426736
2023/3/2,10:00:00,12.95971069,34.3223184,688.5265972
2023/3/2,11:00:00,13.0864502,34.95841594,787.7126389
2023/3/2,12:00:00,15.43154297,28.78417939,816.0925
2023/3/2,13:00:00,15.72216187,28.05659032,771.3831944
2023/3/2,14:00:00,15.69991455,26.81100245,656.8202778
2023/3/2,15:00:00,15.25759277,27.26250881,487.4329167
2023/3/2,16:00:00,15.15239868,26.59849362,281.8788889
2023/3/2,17:00:00,10.98546753,39.7626151,82.55423611
2023/3/2,18:00:00,10.70632324,43.1084661,0.347743056
2023/3/2,19:00:00,10.44133911,46.81245411,0.015104167
2023/3/2,20:00:00,10.42852173,47.40744454,0.015104167
2023/3/2,21:00:00,8.744866943,54.36187961,0.015104167
2023/3/2,22:00:00,7.402429199,59.7065838,0.015104167
2023/3/2,23:00:00,6.561608887,64.11454285,0.015104167
2023/3/3,0:00:00,5.631799316,69.95432576,0.015104167
2023/3/3,1:00:00,5.495599365,70.64975847,0.015104167
2023/3/3,2:00:00,4.918450928,73.56422708,0.015104167
2023/3/3,3:00:00,3.45055542,80.01173277,0.015104167
2023/3/3,4:00:00,4.324395752,74.71307279,0.015104167
2023/3/3,5:00:00,5.517175293,73.65693884,0.015104167
2023/3/3,6:00:00,6.005334473,71.36642987,4.777881944
2023/3/3,7:00:00,7.161706543,65.9416784,114.2000347
2023/3/3,8:00:00,6.974938965,59.93110041,291.8579861
2023/3/3,9:00:00,13.82613525,39.20635592,519.71375
2023/3/3,10:00:00,14.01424561,38.69581002,674.7372917
2023/3/3,11:00:00,14.38308105,38.40885539,742.8370139
2023/3/3,12:00:00,17.34038696,29.69028112,743.0788889
2023/3/3,13:00:00,17.44085083,29.53219585,688.0579167
2023/3/3,14:00:00,17.74224243,28.04706249,606.6225
2023/3/3,15:00:00,17.62154541,28.63148074,464.7078125
2023/3/3,16:00:00,17.45635376,29.34622341,272.8523611
2023/3/3,17:00:00,12.31105957,46.24445199,81.22371528
2023/3/3,18:00:00,12.04741821,48.53685871,0.408229167
2023/3/3,19:00:00,12.33330688,47.77696263,0
2023/3/3,20:00:00,12.38320313,48.69026423,0
2023/3/3,21:00:00,10.94500122,56.05424149,0
2023/3/3,22:00:00,9.344293213,64.38374681,0
2023/3/3,23:00:00,8.328179932,70.87971415,0